Site,X1,X2,X3,Species
463,0,0,0,bobcat
464,0,0,0,bobcat
465,0,0,0,bobcat
466,0,0,0,bobcat
467,0,0,0,bobcat
468,0,0,0,bobcat
469,0,0,0,bobcat
470,0,0,0,bobcat
471,0,1,0,bobcat
472,0,0,0,bobcat
473,0,0,0,bobcat
474,0,0,0,bobcat
475,0,0,0,bobcat
476,0,0,0,bobcat
477,0,0,0,bobcat
478,0,0,0,bobcat
479,1,1,0,bobcat
480,0,0,0,bobcat
481,0,0,0,bobcat
482,0,0,0,bobcat
483,0,0,0,bobcat
484,0,0,0,bobcat
485,0,0,0,bobcat
486,0,0,0,bobcat
487,0,0,0,bobcat
488,0,0,0,bobcat
489,0,0,0,bobcat
490,0,0,0,bobcat
491,0,0,0,bobcat
492,0,0,0,bobcat
493,0,0,0,bobcat
494,0,0,0,bobcat
495,0,0,0,bobcat
496,0,0,0,bobcat
497,0,0,0,bobcat
498,0,0,0,bobcat
499,1,0,0,bobcat
500,0,0,0,bobcat
501,0,0,0,bobcat
502,0,0,0,bobcat
503,0,0,1,bobcat
504,0,0,1,bobcat
505,0,0,0,bobcat
506,0,0,0,bobcat
507,0,0,0,bobcat
508,0,0,0,bobcat
509,0,0,0,bobcat
510,0,0,0,bobcat
511,0,0,0,bobcat
512,0,0,0,bobcat
513,0,0,0,bobcat
514,0,0,0,bobcat
515,0,0,0,bobcat
516,0,0,0,bobcat
517,0,0,0,bobcat
518,0,0,0,bobcat
519,0,0,0,bobcat
520,1,0,0,bobcat
521,1,0,0,bobcat
522,0,0,0,bobcat
523,0,0,0,bobcat
524,0,1,0,bobcat
525,0,0,0,bobcat
526,0,0,0,bobcat
527,1,1,1,bobcat
528,0,0,1,bobcat
529,0,0,0,bobcat
530,0,0,0,bobcat
531,1,1,0,bobcat
532,0,0,0,bobcat
533,0,0,0,bobcat
534,0,0,0,bobcat
535,0,0,0,bobcat
536,1,0,0,bobcat
537,0,0,0,bobcat
538,0,0,0,bobcat
539,0,0,1,bobcat
540,0,0,0,bobcat
541,0,0,0,bobcat
542,0,0,0,bobcat
543,0,0,0,bobcat
544,0,0,0,bobcat
545,0,0,0,bobcat
546,0,0,0,bobcat
547,0,0,0,bobcat
548,0,0,0,bobcat
549,0,0,0,bobcat
550,0,0,0,bobcat
551,0,0,0,bobcat
552,0,0,0,bobcat
553,0,0,0,bobcat
554,0,0,0,bobcat
555,0,0,0,bobcat
556,0,0,0,bobcat
557,0,0,0,bobcat
558,0,0,0,bobcat
559,0,0,0,bobcat
560,0,0,0,bobcat
561,0,0,0,bobcat
562,0,0,1,bobcat
563,0,0,0,bobcat
564,0,0,0,bobcat
565,0,0,0,bobcat
566,0,0,0,bobcat
567,0,0,0,bobcat
568,0,0,0,bobcat
569,0,0,0,bobcat
570,0,0,0,bobcat
571,0,0,0,bobcat
572,0,0,0,bobcat
573,0,0,0,bobcat
574,0,0,0,bobcat
575,0,0,0,bobcat
576,0,0,0,bobcat
577,0,0,0,bobcat
578,0,0,0,bobcat
579,0,0,0,bobcat
580,0,0,0,bobcat
581,0,0,0,bobcat
582,0,0,0,bobcat
583,0,0,0,bobcat
584,0,0,0,bobcat
585,0,0,0,bobcat
586,0,0,0,bobcat
587,0,0,0,bobcat
588,0,0,0,bobcat
589,0,0,0,bobcat
590,0,0,0,bobcat
591,0,0,0,bobcat
592,0,0,0,bobcat
593,0,0,0,bobcat
594,0,0,0,bobcat
595,0,0,0,bobcat
596,0,0,0,bobcat
597,0,0,0,bobcat
598,0,0,0,bobcat
599,0,0,0,bobcat
600,0,0,0,bobcat
601,0,0,0,bobcat
602,0,0,0,bobcat
603,0,0,0,bobcat
604,0,0,0,bobcat
605,0,0,0,bobcat
606,0,0,0,bobcat
607,0,0,0,bobcat
608,0,0,0,bobcat
609,0,0,0,bobcat
610,0,0,0,bobcat
611,0,0,0,bobcat
612,0,0,0,bobcat
613,0,0,0,bobcat
614,0,0,0,bobcat
615,0,0,0,bobcat
616,0,0,0,bobcat
617,0,0,0,bobcat
618,0,0,0,bobcat
619,0,0,0,bobcat
620,0,0,0,bobcat
621,0,0,0,bobcat
622,0,0,0,bobcat
623,0,0,0,bobcat
624,0,0,0,bobcat
625,0,0,0,bobcat
626,0,0,0,bobcat
627,0,0,0,bobcat
628,0,0,0,bobcat
629,0,0,0,bobcat
630,0,0,0,bobcat
631,0,0,0,bobcat
632,0,0,0,bobcat
633,0,0,0,bobcat
634,0,0,0,bobcat
635,0,0,0,bobcat
636,0,0,0,bobcat
637,0,0,0,bobcat
638,0,0,0,bobcat
639,0,0,0,bobcat
640,0,0,0,bobcat
641,0,0,0,bobcat
642,0,0,0,bobcat
643,0,0,0,bobcat
644,0,0,0,bobcat
645,0,0,0,bobcat
646,0,0,0,bobcat
647,0,0,0,bobcat
648,0,0,0,bobcat
649,0,0,0,bobcat
650,0,0,0,bobcat
651,0,0,0,bobcat
652,0,0,0,bobcat
653,0,0,0,bobcat
654,0,0,0,bobcat
655,0,0,0,bobcat
656,0,0,0,bobcat
657,0,0,0,bobcat
658,0,0,0,bobcat
659,0,0,0,bobcat
660,0,0,0,bobcat
661,0,0,0,bobcat
662,0,0,0,bobcat
663,0,0,0,bobcat
664,0,0,0,bobcat
665,0,0,0,bobcat
666,0,0,0,bobcat
667,0,0,0,bobcat
668,0,0,0,bobcat
669,0,0,0,bobcat
670,0,0,0,bobcat
671,0,0,0,bobcat
672,0,0,0,bobcat
673,0,0,0,bobcat
674,0,0,0,bobcat
675,0,0,0,bobcat
676,0,0,0,bobcat
677,0,0,0,bobcat
678,0,0,0,bobcat
679,0,0,0,bobcat
680,0,0,0,bobcat
681,0,0,0,bobcat
682,0,0,0,bobcat
683,0,0,0,bobcat
684,0,0,0,bobcat
685,0,0,0,bobcat
686,0,0,0,bobcat
687,0,0,0,bobcat
688,0,0,0,bobcat
689,0,0,0,bobcat
690,0,0,0,bobcat
691,0,0,0,bobcat
692,0,0,0,bobcat
693,0,0,0,bobcat
694,0,0,0,bobcat
695,0,0,0,bobcat
696,0,0,0,bobcat
697,0,0,0,bobcat
698,0,0,0,bobcat
699,0,0,0,bobcat
700,0,0,0,bobcat
701,0,0,0,bobcat
702,0,0,0,bobcat
703,0,0,0,bobcat
704,0,0,0,bobcat
705,0,0,0,bobcat
706,0,0,0,bobcat
707,0,0,0,bobcat
708,0,0,0,bobcat
709,0,0,0,bobcat
710,0,0,0,bobcat
711,0,0,0,bobcat
712,0,0,0,bobcat
713,0,0,0,bobcat
714,0,0,0,bobcat
715,0,0,0,bobcat
716,0,0,0,bobcat
717,0,0,0,bobcat
718,0,0,0,bobcat
719,0,0,0,bobcat
720,0,0,0,bobcat
721,0,0,0,bobcat
722,0,0,0,bobcat
723,0,0,0,bobcat
724,0,0,0,bobcat
725,0,0,0,bobcat
726,0,0,0,bobcat
727,0,0,0,bobcat
728,0,0,0,bobcat
729,0,0,0,bobcat
730,0,0,0,bobcat
731,0,0,0,bobcat
732,0,0,0,bobcat
733,0,0,0,bobcat
734,0,0,0,bobcat
735,0,0,0,bobcat
736,0,0,0,bobcat
737,0,0,0,bobcat
738,0,0,0,bobcat
739,0,0,0,bobcat
740,0,0,0,bobcat
741,0,0,0,bobcat
742,0,0,0,bobcat
743,0,0,0,bobcat
744,0,0,0,bobcat
745,0,0,0,bobcat
746,0,0,0,bobcat
747,0,0,0,bobcat
748,0,0,0,bobcat
749,0,0,0,bobcat
750,0,0,0,bobcat
751,0,0,0,bobcat
752,0,0,0,bobcat
753,0,0,0,bobcat
754,0,0,0,bobcat
755,0,0,0,bobcat
756,0,0,0,bobcat
757,0,0,0,bobcat
758,0,0,0,bobcat
759,0,0,0,bobcat
760,0,0,0,bobcat
761,0,0,0,bobcat
762,0,0,1,bobcat
763,0,0,0,bobcat
764,0,0,0,bobcat
765,0,0,0,bobcat
766,0,0,0,bobcat
767,0,0,0,bobcat
768,0,0,0,bobcat
769,0,0,0,bobcat
770,0,0,0,bobcat
771,0,0,0,bobcat
772,0,0,0,bobcat
773,0,0,0,bobcat
774,0,0,0,bobcat
775,0,0,0,bobcat
776,0,0,0,bobcat
777,0,0,0,bobcat
778,0,0,0,bobcat
779,0,0,0,bobcat
780,0,0,0,bobcat
781,0,0,0,bobcat
782,0,0,0,bobcat
783,0,0,0,bobcat
784,0,0,0,bobcat
785,0,0,0,bobcat
786,0,0,0,bobcat
787,0,0,0,bobcat
788,0,0,0,bobcat
789,0,0,0,bobcat
790,0,0,0,bobcat
791,1,0,0,bobcat
792,1,1,1,bobcat
793,0,0,0,bobcat
794,0,0,0,bobcat
795,1,0,0,bobcat
796,0,0,0,bobcat
797,0,0,0,bobcat
798,0,0,0,bobcat
799,0,0,1,bobcat
800,1,1,1,bobcat
801,0,0,1,bobcat
802,0,0,0,bobcat
803,0,1,0,bobcat
804,0,0,0,bobcat
